word,score_1,score_2,score_3
sicher,1,,
friede,1,,
mitgefühl,1,,
einfühl,1,,
sympath,1,,
sorge,1,,
fürsorgend,1,,
schütz,1,,
abschirmen,1,,
schutz ,1,,
freundschaft,1,,
gesichert,1,,
vorteil,1,,
verteidig,1,,
wache,1,,
erhalten,1,7,9
schade,2,,
leide,2,,
krieg,2,,
kriege,2,,
kriegerisch,2,,
bekriegen,2,,
kampf,2,,
gewalt,2,,
verletz,2,,
töten,2,,
tötet,2,,
killer,2,,
getötet,2,,
tötend,2,,
gefährd,2,,
grausam,2,,
brutal,2,,
misshandel,2,,
beschädig,2,,
ruinier,2,10,
vernichten,2,,
schaden,2,,
zerdrück,2,,
angriff,2,,
vernicht,2,,
zerstören,2,,
stampfen,2,,
zurücklassen,2,6,
verschmähen,2,,
schädigen,2,,
ausbeuten,2,10,
beutet aus,2,10,
ausgebeutet,2,10,
ausbeutend,2,10,
wund,2,,
,,,
fair,3,,
ehrlich,3,,
fairness,3,,
fair,3,,
gerecht,3,,
fairplay,3,,
gleich,3,11,
justiz,3,,
gerechtigkeit,3,,
recht,3,,
reziprok,3,,
unparteiisch,3,,
egalitär,3,,
rechte,3,,
billigkeit,3,,
gleichmäßigkeit,3,,
äquivalent,3,,
unvoreingenommen,3,,
tolerant,3,,
ausgeglichen,3,,
gleichgewicht,3,,
homolog,3,,
vorurteilslos,3,,
vernünftig,3,,
konstant,3,,
ehrlich,3,12,
,,,
unfair,4,,
ungleich,4,,
voreingenommen,4,,
ungerecht,4,,
ungerechtigkeit,4,,
eiferer,4,,
diskriminier,4,,
missverhältnis,4,,
ungleich,4,,
vorurteil,4,,
unehrlich,4,,
skrupellos,4,,
dissoziieren,4,,
vorliebe,4,,
begünstigung,4,,
segreg,4,5,
ausschluss,4,,
ausschließen,4,,
,,,
zusammen,5,,
nation,5,,
heimatland,5,,
familie,5,,
Familien,5,,
familial,5,,
gruppe,5,,
loyal,5,7,
patriot,5,,
gemeinschaftlich,5,,
gemeinde,5,,
kommunit,5,,
kommunis,5,,
kamerad,5,,
kader,5,,
kollektiv,5,,
gemeinsam,5,,
einstimmig,5,,
vereinig,5,,
gefährte,5,,
gilde,5,,
solidarität,5,,
hingeb,5,,
mitglied,5,,
clique,5,,
kohorte,5,,
verbündete,5,,
insider,5,,
,,,
ausländ,6,,
feind,6,,
verrat,6,8,
verrat,6,8,
verräter,6,8,
heimtück,6,8,
illoyal,6,9,
individuell,6,11,
apostasie,6,8,10
apostatisch,6,8,10
desertiert,6,8,
deserteur,6,8,
verlassend,6,8,
täusch,6,,
sitzenlassen,6,,
hochstapler,6,,
übeltäter,6,,
spion,6,,
beschlagnahmen,6,,
renegat,6,,
terroris,6,,
immigr,6,,
,,,
,,,
gehorch,7,,
gehorsam,7,,
pflicht,7,,
gesetz,7,,
gesetzlich,7,11,12
legal,7,11,12
pflicht,7,,
ehre,7,,
respekt ,7,,
respektvoll,7,,
respektiert,7,,
,,,
ordnung,7,,
vater,7,,
mutter,7,,
mütterlich,7,,
bemuttern,7,,
mütter,7,,
tradition,7,,
hierach,7,,
autoritä,7,11,
erlauben,7,,
erlaubnis,7,,
status,7,,
rang,7,,
anführer,7,,
klasse,7,,
bürgertum,7,,
